Group,Alcohol,Remember,IRK,Guess
Control,Before,0.890410959,1,0
Control,Before,0.716981132,0.466666667,0.150943396
Control,Before,0.701492537,0.05,0.28358209
Control,Before,0.876404494,0.909090909,0.011235955
Control,Before,0.661538462,0.863636364,0.046153846
Control,Before,0.357142857,0.611111111,0.25
Control,Before,0.111111111,1,0
Control,Before,1,0,0
Control,Before,0.175,1,0
Control,Before,0.779220779,0.529411765,0.103896104
Control,Before,0.826666667,0.769230769,0.04
Control,Before,0.7125,0.652173913,0.1
Control,Before,0.739130435,0.944444444,0.014492754
Control,Before,0.597402597,0.516129032,0.194805195
Control,Before,0.698630137,0.590909091,0.123287671
Control,Before,0.7,0.777777778,0.066666667
Control,Before,0.833333333,1,0
Control,Before,0.860759494,1,0
Control,Before,0.6875,0.72,0.0875
Control,Before,1,0,0
Control,Before,0.528571429,0.878787879,0.057142857
Control,Before,0.821917808,0.923076923,0.01369863
Control,Before,0.704225352,1,0
Control,Before,0.671875,0.904761905,0.03125
Control,After,0.085106383,1,0
Control,After,0.448979592,0.296296296,0.387755102
Control,After,0.5,0.25,0.375
Control,After,0.864197531,0.727272727,0.037037037
Control,After,0.391304348,0.892857143,0.065217391
Control,After,0.571428571,0.75,0.107142857
Control,After,0.196969697,0.981132075,0.015151515
Control,After,1,0,0
Control,After,0.357142857,1,0
Control,After,0.853333333,0.363636364,0.093333333
Control,After,0.581818182,0.434782609,0.236363636
Control,After,0.534482759,0.444444444,0.25862069
Control,After,0.523076923,1,0
Control,After,0.327272727,0.540540541,0.309090909
Control,After,0.650793651,0.454545455,0.19047619
Control,After,0.638888889,0.615384615,0.138888889
Control,After,0.784810127,1,0
Control,After,0.675,1,0
Control,After,0.776119403,0.666666667,0.074626866
Control,After,0.93442623,1,0
Control,After,0.639344262,1,0
Control,After,0.70212766,0.928571429,0.021276596
Control,After,0.315789474,1,0
Control,After,0.705882353,0.9,0.029411765
MBO,Before,0.805555556,0.857142857,0.027777778
MBO,Before,0.211267606,0.946428571,0.042253521
MBO,Before,0.734177215,1,0
MBO,Before,0.485294118,0.885714286,0.058823529
MBO,Before,0.597402597,0.967741935,0.012987013
MBO,Before,0.888888889,0.666666667,0.037037037
MBO,Before,0.413333333,1,0
MBO,Before,0.586206897,0.791666667,0.086206897
MBO,Before,0.835443038,0.846153846,0.025316456
MBO,Before,0.530612245,1,0
MBO,Before,0.788732394,0.866666667,0.028169014
MBO,Before,0.272727273,0.875,0.090909091
MBO,Before,0.661538462,0.954545455,0.015384615
MBO,Before,0.305555556,0.98,0.013888889
MBO,Before,0.410958904,0.976744186,0.01369863
MBO,Before,0.676056338,0.869565217,0.042253521
MBO,Before,0.863636364,0.333333333,0.090909091
MBO,Before,0.731343284,0.777777778,0.059701493
MBO,Before,0.438356164,0.780487805,0.123287671
MBO,Before,0.613333333,0.862068966,0.053333333
MBO,Before,0.610169492,0.782608696,0.084745763
MBO,Before,0.517857143,0.888888889,0.053571429
MBO,Before,0.719298246,1,0
MBO,Before,0.764705882,0.85,0.035294118
MBO,Before,0.6,0.966666667,0.013333333
MBO,Before,0.613333333,0.965517241,0.013333333
MBO,Before,0.725,0.636363636,0.1
MBO,Before,0.350877193,0.594594595,0.263157895
MBO,Before,0.710526316,0.727272727,0.078947368
MBO,After,0.727272727,1,0
MBO,After,0.081632653,0.933333333,0.06122449
MBO,After,0.76,1,0
MBO,After,0.555555556,0.833333333,0.074074074
MBO,After,0.632653061,0.944444444,0.020408163
MBO,After,0.890625,0.714285714,0.03125
MBO,After,0.2,0.979166667,0.016666667
MBO,After,0.3,0.785714286,0.15
MBO,After,0.770491803,1,0
MBO,After,0.404255319,0.714285714,0.170212766
MBO,After,0.596774194,0.76,0.096774194
MBO,After,0.178082192,1,0
MBO,After,0.724137931,0.875,0.034482759
MBO,After,0.428571429,0.90625,0.053571429
MBO,After,0.440677966,0.939393939,0.033898305
MBO,After,0.245614035,0.837209302,0.122807018
MBO,After,0.739130435,0.25,0.195652174
MBO,After,0.166666667,0.3,0.583333333
MBO,After,0.323529412,0.565217391,0.294117647
MBO,After,0.678571429,0.444444444,0.178571429
MBO,After,0.555555556,0.571428571,0.19047619
MBO,After,0.555555556,0.6,0.177777778
MBO,After,0.25,0.933333333,0.05
MBO,After,0.565217391,0.9,0.043478261
MBO,After,0.548387097,0.964285714,0.016129032
MBO,After,0.467741935,0.96969697,0.016129032
MBO,After,0.891566265,0.666666667,0.036144578
MBO,After,0.369565217,0.793103448,0.130434783
MBO,After,0.423728814,0.764705882,0.13559322
