Participant,Group,Alcohol,dFree,dSerial,cFree,cSerial,Pr_Free,Pr_Serial
1,Control,Before,1.914734818,1.995355154,0.131430319,0.091120151,0.657458564,0.679558011
2,Control,Before,1.614540002,1.329959434,0.446447371,0.588737655,0.535911602,0.425414365
3,Control,Before,1.743908755,1.538721824,0.121595638,0.224189104,0.613259669,0.546961326
4,Control,Before,2.104977016,2.729183506,-0.864427376,-1.17653062,0.546961326,0.569060773
5,Control,Before,1.538721824,1.604192238,0.224189104,0.191453897,0.546961326,0.569060773
6,Control,Before,-0.692461643,-1.072027852,-0.029412176,0.160370928,-0.270718232,-0.403314917
7,Control,Before,2.602688517,2.229140208,-0.161001779,0.025772376,0.801104972,0.73480663
8,Control,Before,2.007517845,2.141188684,0.458587115,0.391751695,0.635359116,0.679558011
9,Control,Before,2.551143765,2.082347744,-0.186774155,0.047623856,0.790055249,0.701657459
10,Control,Before,2.512089707,2.2235375,0.06093522,0.205211324,0.790055249,0.723756906
11,Control,Before,2.101667059,1.656916166,-0.144276103,0.078099343,0.701657459,0.591160221
12,Control,Before,2.455896053,1.987100032,-0.234398011,0,0.767955801,0.679558011
13,Control,Before,1.157351487,0.942056619,-0.247261347,-0.139613913,0.425414365,0.359116022
14,Control,Before,2.379553445,2.474801157,0.196226707,0.148602851,0.756906077,0.779005525
15,Control,Before,2.133892496,1.89070122,0.073396232,0.19499187,0.712707182,0.64640884
16,Control,Before,1.882965268,1.882965268,0.520863404,0.520863404,0.591160221,0.591160221
17,Control,Before,2.2235375,2.554095419,-0.205211324,-0.370490283,0.723756906,0.767955801
18,Control,Before,2.021046723,1.914734818,-0.184586271,-0.131430319,0.679558011,0.657458564
19,Control,Before,1.909253664,1.909253664,-0.240482801,-0.240482801,0.64640884,0.64640884
20,Control,Before,2.855082612,3.413822876,0.338743578,0.059373446,0.82320442,0.91160221
21,Control,Before,2.292560856,1.996645651,0.239723001,0.387680604,0.73480663,0.64640884
22,Control,Before,1.987100032,1.743908755,0,0.121595638,0.679558011,0.613259669
23,Control,Before,1.945468372,2.021046723,0.222375447,0.184586271,0.657458564,0.679558011
24,Control,Before,2.247267388,1.441778504,0.130083678,0.53282812,0.73480663,0.46961326
1,Control,After,0.669630071,1.532697649,0.70517928,0.273645491,0.206384285,0.539717618
2,Control,After,1.628302453,1.23332834,0.502828847,0.700315904,0.52829957,0.372744015
3,Control,After,0.655513267,0.064996717,1.43852825,1.733786525,0.0946593,0.005770411
4,Control,After,1.763252077,2.451646906,-0.131267299,-0.475464714,0.617925107,0.729036219
5,Control,After,1.217879806,0.653210323,0.297617523,0.579952265,0.43990178,0.217679558
6,Control,After,0.769978235,0.517416757,0.755353362,0.881634102,0.228483732,0.139594843
7,Control,After,1.624081617,2.177584393,0.441676564,0.164925176,0.539472069,0.717249847
8,Control,After,2.017902237,1.675393019,0.638586874,0.809841483,0.594720688,0.461387354
9,Control,After,2.154423174,2.303967271,0.38513445,0.310362402,0.683732351,0.728176796
10,Control,After,1.853507401,2.309438076,0.162044027,-0.065921311,0.639656231,0.750767342
11,Control,After,1.260478065,1.202502788,0.318916653,0.347904291,0.450951504,0.428729282
12,Control,After,1.23620605,1.596627937,0.421891291,0.241680347,0.428606507,0.56193984
13,Control,After,1.205386684,1.00601288,-0.089383795,0.010303107,0.451688152,0.385021486
14,Control,After,1.756367674,1.582215163,0.507819592,0.594895848,0.561571516,0.49490485
15,Control,After,1.2962712,1.488469624,0.217408301,0.121309089,0.473296501,0.539963168
16,Control,After,1.154834659,1.619682965,1.070120663,0.83769651,0.261387354,0.439165132
17,Control,After,2.8963978,2.036730866,-0.253089267,0.1767442,0.839533456,0.683977901
18,Control,After,1.576168005,1.236990598,0.760228976,0.929817679,0.45033763,0.317004297
19,Control,After,1.80470399,1.596627937,0.137642321,0.241680347,0.628606507,0.56193984
20,Control,After,1.873613695,1.687344319,0.380173226,0.473307914,0.617188459,0.550521793
21,Control,After,1.773668417,2.085271761,0.575511829,0.419710157,0.550399018,0.661510129
22,Control,After,1.302351695,1.582215163,0.734827582,0.594895848,0.383793738,0.49490485
23,Control,After,1.22296466,0.764382334,0.583627303,0.812918466,0.395089012,0.217311234
24,Control,After,1.322635738,0.969642704,0.801028168,0.977524685,0.37262124,0.239287907
41,MBO,Before,2.457322554,1.622302632,-0.088318797,0.329191164,0.779005525,0.55801105
42,MBO,Before,1.996645651,2.379553445,0.387680604,0.196226707,0.64640884,0.756906077
43,MBO,Before,2.31053009,1.987100032,-0.161715029,0,0.745856354,0.679558011
44,MBO,Before,1.15581403,1.436579313,0.032735207,-0.107647434,0.436464088,0.524861878
45,MBO,Before,2.235103949,1.946551742,-0.077557658,0.066718445,0.73480663,0.668508287
46,MBO,Before,2.368903464,1.995355154,-0.277894305,-0.091120151,0.745856354,0.679558011
47,MBO,Before,2.298671718,2.743422611,0.398977119,0.176601673,0.712707182,0.82320442
48,MBO,Before,2.474801157,1.183827264,0.148602851,0.794089797,0.779005525,0.337016575
49,MBO,Before,2.842647625,2.021046723,-0.22621418,0.184586271,0.834254144,0.679558011
50,MBO,Before,2.01106094,1.731656027,0.760754414,0.900456871,0.55801105,0.447513812
51,MBO,Before,1.559797907,1.942705701,0.169256731,-0.022197166,0.55801105,0.668508287
52,MBO,Before,3.005713612,1.69943995,-0.414059078,0.239077753,0.834254144,0.591160221
53,MBO,Before,1.996645651,1.931175237,0.387680604,0.420415811,0.64640884,0.624309392
54,MBO,Before,1.772101327,1.61590264,-0.020506763,0.05759258,0.624309392,0.580110497
55,MBO,Before,1.537944192,1.781135469,0.018613357,-0.102982282,0.55801105,0.624309392
56,MBO,Before,1.839156467,1.295530548,-0.169219494,0.102593466,0.635359116,0.480662983
57,MBO,Before,1.504779737,1.371108899,0.073547222,0.140382641,0.546961326,0.502762431
58,MBO,Before,2.176490068,0.846089247,-0.374101003,0.291099408,0.690607735,0.314917127
59,MBO,Before,2.082347744,1.839156467,0.047623856,0.169219494,0.701657459,0.635359116
60,MBO,Before,1.942705701,1.855713111,-0.022197166,0.021299129,0.668508287,0.64640884
