Participant,Group,Alcohol,dFree,dSerial,cFree,cSerial,PrFree,PrSerial
41,MBO,Before,2.457322554,1.622302632,-0.088318797,0.329191164,0.779005525,0.55801105
42,MBO,Before,1.996645651,2.379553445,0.387680604,0.196226707,0.64640884,0.756906077
43,MBO,Before,2.31053009,1.987100032,-0.161715029,0,0.745856354,0.679558011
44,MBO,Before,1.15581403,1.436579313,0.032735207,-0.107647434,0.436464088,0.524861878
45,MBO,Before,2.235103949,1.946551742,-0.077557658,0.066718445,0.73480663,0.668508287
46,MBO,Before,2.368903464,1.995355154,-0.277894305,-0.091120151,0.745856354,0.679558011
47,MBO,Before,2.298671718,2.743422611,0.398977119,0.176601673,0.712707182,0.82320442
48,MBO,Before,2.474801157,1.183827264,0.148602851,0.794089797,0.779005525,0.337016575
49,MBO,Before,2.842647625,2.021046723,-0.22621418,0.184586271,0.834254144,0.679558011
50,MBO,Before,2.01106094,1.731656027,0.760754414,0.900456871,0.55801105,0.447513812
51,MBO,Before,1.559797907,1.942705701,0.169256731,-0.022197166,0.55801105,0.668508287
52,MBO,Before,3.005713612,1.69943995,-0.414059078,0.239077753,0.834254144,0.591160221
54,MBO,Before,1.772101327,1.61590264,-0.020506763,0.05759258,0.624309392,0.580110497
55,MBO,Before,1.537944192,1.781135469,0.018613357,-0.102982282,0.55801105,0.624309392
56,MBO,Before,1.839156467,1.295530548,-0.169219494,0.102593466,0.635359116,0.480662983
60,MBO,Before,1.942705701,1.855713111,-0.022197166,0.021299129,0.668508287,0.64640884
61,MBO,Before,1.151333483,1.451729234,0.330890685,0.180692809,0.414364641,0.524861878
62,MBO,Before,0.902579382,0.552564446,-0.030670461,0.144337007,0.348066298,0.215469613
63,MBO,Before,1.538721824,1.125495232,0.224189104,0.4308024,0.546961326,0.392265193
64,MBO,Before,2.742852975,2.142917164,-0.545489397,-0.245521492,0.767955801,0.701657459
67,MBO,Before,2.581113062,2.581113062,0.095446898,0.095446898,0.801104972,0.801104972
68,MBO,Before,2.136362169,1.351374572,0.317822345,0.710316143,0.690607735,0.403314917
69,MBO,Before,1.920957984,0.884062214,-0.687059,-0.168611115,0.55801105,0.337016575
41,MBO,After,2.457470639,3.23319951,1.312387054,0.924522618,0.461141805,0.750030694
42,MBO,After,1.046267725,0.99020916,0.383423564,0.411452846,0.373235114,0.351012891
43,MBO,After,2.606643778,2.150713103,0.08268154,0.310646878,0.806015961,0.69490485
44,MBO,After,1.342144831,1.342144831,0.417725312,0.417725312,0.461878453,0.461878453
45,MBO,After,1.510706725,1.000632181,0.384989118,0.64002639,0.517372621,0.317372621
46,MBO,After,1.382570712,1.382570712,0.134651735,0.134651735,0.506691222,0.506691222
47,MBO,After,1.763268203,1.393689583,0.258708378,0.443497689,0.60626151,0.472928177
48,MBO,After,0.503032496,0.353488399,0.943593385,1.018365433,0.128422345,0.083977901
49,MBO,After,2.500636154,2.686905531,0.879953832,0.786819144,0.627869859,0.694536525
50,MBO,After,1.83326415,2.113127618,1.000283809,0.860352075,0.439042357,0.550153468
51,MBO,After,2.240390115,1.859635358,0.428117921,0.618495299,0.694782075,0.561448742
52,MBO,After,1.925226353,1.134231097,-0.385015701,0.010481927,0.629343155,0.429343155
54,MBO,After,1.276921671,1.159904529,0.268096591,0.326605162,0.462124002,0.417679558
55,MBO,After,0.921964602,1.103345555,0.149659921,0.058969445,0.35150399,0.418170657
56,MBO,After,1.157949698,1.098907832,0.208610604,0.238131537,0.428974831,0.406752609
60,MBO,After,1.208998934,0.697636364,0.85784657,1.113527856,0.328176796,0.150399018
61,MBO,After,2.458362021,2.136649129,0.537103874,0.69796032,0.716881522,0.605770411
62,MBO,After,0.474198073,0.306894605,0.153447303,0.237099036,0.185267035,0.118600368
63,MBO,After,-0.592274107,-0.136014391,0.716756284,0.488626426,-0.181461019,-0.048127686
64,MBO,After,2.539841607,2.758537118,0.64699508,0.537647325,0.705709024,0.772375691
67,MBO,After,1.798706366,1.952163435,-0.448275694,-0.525004229,0.58514426,0.607366483
68,MBO,After,0.94176253,1.506432012,0.724228368,0.441893627,0.283977901,0.506200123
69,MBO,After,1.565039752,1.746420705,0.471197496,0.380507019,0.517249847,0.583916513
41,MBO,AfterMBO,1.602056336,1.43449101,0.661317869,0.745100532,0.483732351,0.417065684
42,MBO,AfterMBO,1.859635358,1.801660081,0.618495299,0.647482937,0.561448742,0.539226519
43,MBO,AfterMBO,2.754803318,2.095338606,-0.123684287,0.206048069,0.828360958,0.695027624
44,MBO,AfterMBO,1.055812236,0.562672515,-0.395960903,-0.149391042,0.37470841,0.219152855
45,MBO,AfterMBO,2.389210607,2.389210607,0.57167958,0.57167958,0.6946593,0.6946593
46,MBO,AfterMBO,3.326854846,2.664608951,-0.346447349,-0.015324402,0.883855126,0.817188459
47,MBO,AfterMBO,3.087291596,2.227624663,-0.157642369,0.272191098,0.872682627,0.717127072
48,MBO,AfterMBO,2.561206315,1.055609645,0.26770982,1.020508156,0.783670964,0.25033763
49,MBO,AfterMBO,2.140241325,2.489159226,0.57741733,0.402958379,0.639165132,0.750276243
50,MBO,AfterMBO,1.358148402,0.16536308,0.706929228,1.303321889,0.406015961,0.028238183
51,MBO,AfterMBO,1.707165134,1.789410921,0.011961333,-0.02916156,0.606629834,0.628852056
52,MBO,AfterMBO,1.9582711,1.302719359,-0.368493328,-0.040717457,0.640392879,0.484837324
54,MBO,AfterMBO,1.400631808,1.344835101,0.61666417,0.644562523,0.439410681,0.417188459
55,MBO,AfterMBO,1.479662589,1.80047879,0.047754158,-0.112653942,0.540085942,0.628974831
56,MBO,AfterMBO,2.095338606,1.565039752,0.206048069,0.471197496,0.695027624,0.517249847
60,MBO,AfterMBO,0.174807563,0.174807563,0.457768026,0.457768026,0.062737876,0.062737876
61,MBO,AfterMBO,0.653019846,1.205386684,0.186799624,-0.089383795,0.251688152,0.451688152
62,MBO,AfterMBO,0.897714815,1.075095012,0.195510305,0.106820206,0.340331492,0.406998158
63,MBO,AfterMBO,0.893300096,0.893300096,0.939353381,0.939353381,0.228238183,0.228238183
64,MBO,AfterMBO,2.260634665,2.260634665,-0.090323016,-0.090323016,0.739717618,0.739717618
67,MBO,AfterMBO,7.50168337,2.251114097,-2.610499205,0.014785432,0.872928177,0.739594843
68,MBO,AfterMBO,1.918677223,1.520457951,0.588974367,0.788084002,0.583670964,0.428115408
69,MBO,AfterMBO,0.49812316,0.801409677,-0.004285523,-0.155928782,0.196685083,0.307796194
