Alcohol,FARelTotal ,UnrelFATotal,FACritLure,FAWeakLure
Before,0.386206897,0.055267703,0.972920383,0.081
Before,0.220689655,0.041450777,0.648613588,0.000
Before,0.606896552,0.041450777,0.972920383,0.405
Before,0.275862069,0.262521589,0.486460191,0.162
Before,0.496551724,0.055267703,0.648613588,0.405
Before,0.386206897,0.124352332,0.810766986,0.162
Before,0.275862069,0,0.648613588,0.081
Before,0.165517241,0.055267703,0.162153397,0.162
Before,0.44137931,0.027633851,0.810766986,0.243
Before,0.165517241,0,0.324306794,0.081
Before,0.496551724,0.082901554,0.810766986,0.324
Before,0.275862069,0.09671848,0.648613588,0.081
Before,0.44137931,0.124352332,0.972920383,0.162
Before,0.606896552,0.110535406,0.972920383,0.405
Before,0.386206897,0.179620035,0.810766986,0.162
Before,0.496551724,0.082901554,0.972920383,0.243
Before,0.44137931,0.110535406,0.810766986,0.243
Before,0.44137931,0.303972366,0.648613588,0.324
Before,0.496551724,0.069084629,0.648613588,0.405
Before,0.496551724,0.124352332,0.972920383,0.243
Before,0.386206897,0,0.810766986,0.162
Before,0.165517241,0.055267703,0.486460191,0.000
Before,0.662068966,0.317789292,0.810766986,0.568
After,0.496551724,0.09671848,0.486460191,0.486499635
After,0.165517241,0.055267703,0.324306794,0.081083273
After,0.551724138,0.027633851,0.972920383,0.32433309
After,0.275862069,0.082901554,0.324306794,0.243249818
After,0.44137931,0.138169257,0.810766986,0.243249818
After,0.275862069,0.082901554,0.648613588,0.081083273
After,0.275862069,0.069084629,0.648613588,0.081083273
After,0.055172414,0,0,0.081083273
After,0.110344828,0,0.324306794,0
After,0.220689655,0.013816926,0.486460191,0.081083273
After,0.551724138,0.207253886,0.810766986,0.405416363
After,0.275862069,0.09671848,0.486460191,0.162166545
After,0.496551724,0.207253886,0.810766986,0.32433309
After,0.44137931,0.151986183,0.486460191,0.405416363
After,0.275862069,0.138169257,0.486460191,0.162166545
After,0.110344828,0.013816926,0.324306794,0
After,0.44137931,0.317789292,0.648613588,0.32433309
After,0.331034483,0.331606218,0.324306794,0.32433309
After,0.055172414,0.013816926,0.162153397,0
After,0.386206897,0.069084629,0.810766986,0.162166545
After,0.331034483,0.055267703,0.648613588,0.162166545
After,0.220689655,0.069084629,0.486460191,0.081083273
After,0.551724138,0.428324698,0.810766986,0.405416363
AfterMBO,0.275862069,0.013816926,0.810766986,0.405416363
AfterMBO,0.275862069,0,0.648613588,0.405416363
AfterMBO,0.386206897,0.027633851,0.810766986,0.567582908
AfterMBO,0.772413793,0.359240069,0.972920383,1.135165815
AfterMBO,0.110344828,0.013816926,0.324306794,0.162166545
AfterMBO,0.275862069,0.041450777,0.486460191,0.405416363
AfterMBO,0.331034483,0.013816926,0.648613588,0.486499635
AfterMBO,0.110344828,0.041450777,0.162153397,0.162166545
AfterMBO,0.165517241,0.013816926,0.486460191,0.243249818
AfterMBO,0.386206897,0,0.648613588,0.567582908
AfterMBO,0.44137931,0.124352332,0.648613588,0.64866618
AfterMBO,0.275862069,0.262521589,0.324306794,0.405416363
AfterMBO,0.220689655,0.055267703,0.486460191,0.32433309
AfterMBO,0.496551724,0.138169257,0.972920383,0.729749453
AfterMBO,0.331034483,0.041450777,0.648613588,0.486499635
AfterMBO,0.331034483,0.276338515,0.486460191,0.486499635
AfterMBO,0.496551724,0.248704663,0.810766986,0.729749453
AfterMBO,0.606896552,0.165803109,0.810766986,0.891915998
AfterMBO,0.220689655,0.041450777,0.324306794,0.32433309
AfterMBO,0.496551724,0.055267703,0.810766986,0.729749453
AfterMBO,0.386206897,0.055267703,0.972920383,0.567582908
AfterMBO,0.220689655,0.013816926,0.648613588,0.32433309
AfterMBO,0.606896552,0.345423143,0.810766986,0.891915998
