Group,Before_FARel,After_FARel,Before_FAUnrel,After_FAUnrel,Before_FACriticalLure,After_FACriticalLure,Before_FAWeakLure,After_FAWeakLure
Control,0.497,0.276,0.041450777,0.111,0.972920383,0.007,0.243249818,0.162166545
Control,0.221,0.386,0.069084629,0.014,0.486460191,0.011,0.081083273,0.162166545
Control,0.497,0.000,0.069084629,0.041,0.972920383,0.011,0.243249818,0
Control,0.497,0.166,0.400690846,0.235,0.810766986,0.065,0.32433309,0.081083273
Control,0.497,0.441,0.069084629,0.111,0.810766986,0.011,0.32433309,0.32433309
Control,0.221,0.221,0.74611399,0.097,0.162153397,0.121,0.243249818,0.243249818
Control,0.331,0.386,0.069084629,0.028,0.486460191,0.011,0.243249818,0.243249818
Control,0.221,0.110,0.027633851,0.028,0.486460191,0.004,0.081083273,0
Control,0.497,0.221,0.041450777,0.028,0.972920383,0.007,0.243249818,0.081083273
Control,0.386,0.331,0.013816926,0.083,0.648613588,0.002,0.243249818,0.243249818
Control,0.552,0.497,0.082901554,0.083,0.972920383,0.013,0.32433309,0.405416363
Control,0.772,0.331,0,0.097,0.972920383,0.000,0.64866618,0.162166545
Control,0.552,0.166,0.317789292,0.332,0.810766986,0.052,0.405416363,0.081083273
Control,0.386,0.331,0,0.014,0.810766986,0.000,0.162166545,0.081083273
Control,0.441,0.331,0.041450777,0.152,0.810766986,0.007,0.243249818,0.162166545
Control,0.166,0.110,0.041450777,0.028,0.162153397,0.007,0.162166545,0.081083273
Control,0.331,0.386,0.138169257,0.041,0.648613588,0.022,0.162166545,0.243249818
Control,0.607,0.276,0.09671848,0.000,0.972920383,0.016,0.405416363,0.162166545
Control,0.552,0.386,0.151986183,0.083,0.810766986,0.025,0.405416363,0.243249818
Control,0.110,0.166,0.013816926,0.069,0.324306794,0.002,0,0.081083273
Control,0.276,0.221,0.027633851,0.028,0.486460191,0.004,0.162166545,0
Control,0.221,0.166,0.138169257,0.055,0.648613588,0.022,0,0.243249818
Control,0.166,0.166,0.09671848,0.097,0.324306794,0.016,0.081083273,0.162166545
Control,0.441,0.110,0.013816926,0.055,0.648613588,0.002,0.32433309,0
MBO,0.386,0.497,0.055267703,0.097,0.972920383,0.009,0.081083273,0.486499635
MBO,0.221,0.166,0.041450777,0.055,0.648613588,0.007,0,0.081083273
MBO,0.607,0.552,0.041450777,0.028,0.972920383,0.007,0.405416363,0.32433309
MBO,0.276,0.276,0.262521589,0.083,0.486460191,0.043,0.162166545,0.243249818
MBO,0.497,0.441,0.055267703,0.138,0.648613588,0.009,0.405416363,0.243249818
MBO,0.386,0.276,0.124352332,0.083,0.810766986,0.020,0.162166545,0.081083273
MBO,0.276,0.276,0,0.069,0.648613588,0.000,0.081083273,0.081083273
MBO,0.166,0.055,0.055267703,0.000,0.162153397,0.009,0.162166545,0.081083273
MBO,0.441,0.110,0.027633851,0.000,0.810766986,0.004,0.243249818,0
MBO,0.166,0.221,0,0.014,0.324306794,0.000,0.081083273,0.081083273
MBO,0.497,0.552,0.082901554,0.207,0.810766986,0.013,0.32433309,0.405416363
MBO,0.276,0.276,0.09671848,0.097,0.648613588,0.016,0.081083273,0.162166545
MBO,0.331,0.497,0.013816926,0.097,0.648613588,0.002,0.162166545,0.243249818
MBO,0.441,0.497,0.124352332,0.207,0.972920383,0.020,0.162166545,0.32433309
MBO,0.607,0.441,0.110535406,0.152,0.972920383,0.018,0.405416363,0.405416363
MBO,0.386,0.276,0.179620035,0.138,0.810766986,0.029,0.162166545,0.162166545
MBO,0.386,0.055,0.151986183,0.069,0.648613588,0.025,0.243249818,0.081083273
MBO,0.662,0.221,0.124352332,0.041,0.972920383,0.020,0.486499635,0.081083273
MBO,0.441,0.276,0.055267703,0.014,0.810766986,0.009,0.243249818,0.243249818
MBO,0.497,0.110,0.082901554,0.014,0.972920383,0.013,0.243249818,0
MBO,0.441,0.441,0.110535406,0.318,0.810766986,0.018,0.243249818,0.32433309
MBO,0.441,0.331,0.303972366,0.332,0.648613588,0.049,0.32433309,0.32433309
MBO,0.497,0.055,0.069084629,0.014,0.648613588,0.011,0.405416363,0
MBO,0.497,0.386,0.124352332,0.069,0.972920383,0.020,0.243249818,0.162166545
MBO,0.386,0.497,0.234887737,0.180,0.648613588,0.038,0.243249818,0.32433309
MBO,0.331,0.441,0.165803109,0.290,0.972920383,0.027,0,0.243249818
MBO,0.386,0.331,0,0.055,0.810766986,0.000,0.162166545,0.162166545
MBO,0.165517241,0.22068966,0.055267703,0.069084629,0.486460191,0.009,0,0.081083273
MBO,0.662068966,0.55172414,0.317789292,0.428324698,0.810766986,0.052,0.567582908,0.405416363
