Minutes,TFA_T1T3,dPrime
540,0.055248619,0.52153892
420,0.022099448,0.357451829
420,0.055248619,-0.276255901
360,-0.17679558,0.486954296
420,0.110497238,-0.298382762
420,0.08839779,-0.81360259
480,-0.022099448,-0.136410965
510,0.022099448,0.02090623
645,0.066298343,0.117146899
525,-0.044198895,1.109602742
360,-0.022099448,0.002963776
600,-0.132596685,0.722081551
300,0.099447514,0.321268529
180,4.996E-16,0.019469141
330,0.121546961,-0.262845671
300,-0.121546961,1.724401843
270,-0.121546961,0.372328094
420,0.077348066,-0.258833
420,0.077348066,0.438808432
330,0.055248619,0.182250405
420,-0.044198895,-2.295285671
300,0.022099448,0.024300784
120,-0.011049724,0.752743681
